Age-dependence of Ontogeny factor UGT2B4 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor UGT2B4;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.564;0.976;1.46;25
8.53-9.09;8.8;0.593;1.05;1.81;25
9.09-9.6;9.3;0.661;0.963;1.64;25
9.6-10.1;9.91;0.61;0.95;1.63;25
10.1-10.8;10.3;0.701;0.985;1.62;25
10.8-11.3;11.1;0.701;0.996;1.37;25
11.3-11.7;11.5;0.678;0.951;1.58;25
11.7-12.2;11.9;0.62;0.956;1.53;25
12.2-12.7;12.5;0.641;1.1;1.85;25
12.7-13;12.9;0.58;0.875;1.26;25
13-13.5;13.2;0.717;0.995;1.39;25
13.5-13.9;13.7;0.771;1.14;1.65;25
13.9-14.5;14.2;0.573;0.933;1.76;25
14.5-15;14.8;0.549;0.908;1.58;25
15-15.4;15.2;0.645;1.06;1.39;25
15.4-16;15.7;0.677;0.931;1.46;25
16-16.6;16.3;0.756;0.991;1.47;25
16.6-17.1;16.9;0.759;1.04;1.51;25
17.1-17.6;17.3;0.67;1;1.35;25
17.6-18;17.9;0.635;1.01;1.51;25
;;;;;
reference values:;0.643;0.964;1.68;;
