Age-dependence of Ontogeny factor GI CYP2C19 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI CYP2C19;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.222;1.05;3.89;25
8.53-9.09;8.8;0.287;1.05;10.3;25
9.09-9.6;9.3;0.182;0.979;3.43;25
9.6-10.1;9.91;0.27;1.44;4.95;25
10.1-10.8;10.3;0.124;1.11;2.78;25
10.8-11.3;11.1;0.113;0.721;14.9;25
11.3-11.7;11.5;0.254;1.15;4.43;25
11.7-12.2;11.9;0.246;0.961;9.32;25
12.2-12.7;12.5;0.217;1.32;4.18;25
12.7-13;12.9;0.277;1.22;2.79;25
13-13.5;13.2;0.222;0.95;7.06;25
13.5-13.9;13.7;0.145;0.756;10.5;25
13.9-14.5;14.2;0.153;0.807;4.18;25
14.5-15;14.8;0.212;0.87;9.74;25
15-15.4;15.2;0.127;1.1;7;25
15.4-16;15.7;0.231;0.978;7.92;25
16-16.6;16.3;0.159;0.658;5.15;25
16.6-17.1;16.9;0.0912;1.34;9.48;25
17.1-17.6;17.3;0.17;0.659;9.97;25
17.6-18;17.9;0.206;0.721;2.51;25
;;;;;
reference values:;0.156;0.929;3.54;;
