Age-dependence of Ontogeny factor GI CYP2C18 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI CYP2C18;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.464;1.26;4.84;25
8.53-9.09;8.8;0.203;1.24;2.77;25
9.09-9.6;9.3;0.236;0.964;2.47;25
9.6-10.1;9.91;0.309;0.957;2.14;25
10.1-10.8;10.3;0.165;0.764;2.79;25
10.8-11.3;11.1;0.401;0.713;4.14;25
11.3-11.7;11.5;0.294;0.776;2.43;25
11.7-12.2;11.9;0.352;1.24;2.65;25
12.2-12.7;12.5;0.28;0.773;4.6;25
12.7-13;12.9;0.195;0.877;3.6;25
13-13.5;13.2;0.285;1.04;3.49;25
13.5-13.9;13.7;0.397;0.994;6.37;25
13.9-14.5;14.2;0.286;1.03;2.47;25
14.5-15;14.8;0.168;1.06;4.79;25
15-15.4;15.2;0.246;1.05;4.59;25
15.4-16;15.7;0.171;0.873;4.53;25
16-16.6;16.3;0.372;0.947;4.07;25
16.6-17.1;16.9;0.209;0.932;4.31;25
17.1-17.6;17.3;0.233;1.41;4.16;25
17.6-18;17.9;0.195;1.06;2.98;25
;;;;;
reference values:;0.323;0.885;3.1;;
