Age-dependence of Ontogeny factor UGT1A1 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor UGT1A1;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.783;1.01;1.28;25
8.53-9.09;8.8;0.774;1.01;1.18;25
9.09-9.6;9.3;0.735;0.949;1.27;25
9.6-10.1;9.91;0.794;0.97;1.15;25
10.1-10.8;10.3;0.784;1.02;1.18;25
10.8-11.3;11.1;0.806;1.03;1.22;25
11.3-11.7;11.5;0.817;0.981;1.22;25
11.7-12.2;11.9;0.852;0.952;1.17;25
12.2-12.7;12.5;0.739;1;1.26;25
12.7-13;12.9;0.787;0.993;1.28;25
13-13.5;13.2;0.817;0.993;1.33;25
13.5-13.9;13.7;0.83;0.955;1.17;25
13.9-14.5;14.2;0.751;0.925;1.09;25
14.5-15;14.8;0.8;1.04;1.23;25
15-15.4;15.2;0.787;0.998;1.2;25
15.4-16;15.7;0.825;1.05;1.26;25
16-16.6;16.3;0.859;1.03;1.22;25
16.6-17.1;16.9;0.833;1.06;1.35;25
17.1-17.6;17.3;0.832;1.01;1.13;25
17.6-18;17.9;0.816;0.948;1.15;25
;;;;;
reference values:;0.841;1;1.25;;
