Demography of Larson 2013 8y-18y 400mg FCT meal vs. simulated virtual pediatric population;;;1
S1_shA1_1_age_age;Age-dependence of age for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA2_1_body_weight_age;Age-dependence of body weight for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA3_1_body_height_age;Age-dependence of body height for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA4_1_BMI_age;Age-dependence of BMI for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA5_1_body_surface_area_age;Age-dependence of body surface area for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_h6_gender;Distribution of gender for simulated virtual pediatric population in comparison to observed data Observed_Raltegravir 10 mg   (lactose formulation).;;
S1_shA7_1_Ontogeny_factor__albumin__age;Age-dependence of Ontogeny factor (albumin) for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA8_1_Ontogeny_factor__alpha1-acid_glycoprotein__age;Age-dependence of Ontogeny factor (alpha1-acid glycoprotein) for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA9_1_Ontogeny_factor_CYP3A4_age;Age-dependence of Ontogeny factor CYP3A4 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA10_1_Ontogeny_factor_GI_CYP3A4_age;Age-dependence of Ontogeny factor GI CYP3A4 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA11_1_Ontogeny_factor_CYP3A5_age;Age-dependence of Ontogeny factor CYP3A5 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA12_1_Ontogeny_factor_GI_CYP3A5_age;Age-dependence of Ontogeny factor GI CYP3A5 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA13_1_Ontogeny_factor_CYP3A7_age;Age-dependence of Ontogeny factor CYP3A7 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA14_1_Ontogeny_factor_GI_CYP3A7_age;Age-dependence of Ontogeny factor GI CYP3A7 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA15_1_Ontogeny_factor_CYP1A2_age;Age-dependence of Ontogeny factor CYP1A2 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA16_1_Ontogeny_factor_GI_CYP1A2_age;Age-dependence of Ontogeny factor GI CYP1A2 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA17_1_Ontogeny_factor_CYP2C18_age;Age-dependence of Ontogeny factor CYP2C18 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
S1_shA18_1_Ontogeny_factor_GI_CYP2C18_age;Age-dependence of Ontogeny factor GI CYP2C18 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;
