Age-dependence of Ontogeny factor UGT1A9 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor UGT1A9;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.762;0.994;1.26;25
8.53-9.09;8.8;0.783;0.987;1.35;25
9.09-9.6;9.3;0.756;0.999;1.31;25
9.6-10.1;9.91;0.794;0.989;1.36;25
10.1-10.8;10.3;0.745;0.994;1.23;25
10.8-11.3;11.1;0.77;1.04;1.29;25
11.3-11.7;11.5;0.854;1.04;1.32;25
11.7-12.2;11.9;0.867;1.03;1.19;25
12.2-12.7;12.5;0.819;0.945;1.15;25
12.7-13;12.9;0.758;1;1.28;25
13-13.5;13.2;0.741;0.947;1.18;25
13.5-13.9;13.7;0.738;0.972;1.28;25
13.9-14.5;14.2;0.765;1.01;1.29;25
14.5-15;14.8;0.724;1.06;1.31;25
15-15.4;15.2;0.767;1.01;1.23;25
15.4-16;15.7;0.805;0.988;1.35;25
16-16.6;16.3;0.806;0.931;1.3;25
16.6-17.1;16.9;0.795;0.948;1.32;25
17.1-17.6;17.3;0.769;1.04;1.24;25
17.6-18;17.9;0.798;0.963;1.25;25
;;;;;
reference values:;0.764;0.989;1.24;;
