Age-dependence of Ontogeny factor GI ABCB1 (P-gp) for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI ABCB1 (P-gp);;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0;0;0;25
8.53-9.09;8.8;0;0;0;25
9.09-9.6;9.3;0;0;0;25
9.6-10.1;9.91;0;0;0;25
10.1-10.8;10.3;0;0;0;25
10.8-11.3;11.1;0;0;0;25
11.3-11.7;11.5;0;0;0;25
11.7-12.2;11.9;0;0;0;25
12.2-12.7;12.5;0;0;0;25
12.7-13;12.9;0;0;0;25
13-13.5;13.2;0;0;0;25
13.5-13.9;13.7;0;0;0;25
13.9-14.5;14.2;0;0;0;25
14.5-15;14.8;0;0;0;25
15-15.4;15.2;0;0;0;25
15.4-16;15.7;0;0;0;25
16-16.6;16.3;0;0;0;25
16.6-17.1;16.9;0;0;0;25
17.1-17.6;17.3;0;0;0;25
17.6-18;17.9;0;0;0;25
;;;;;
reference values:;0;0;0;;
