Age-dependence of BMI for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];BMI [kg/m²];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;13.9;17;20.9;25
8.53-9.09;8.8;14.3;17;20.2;25
9.09-9.6;9.3;14.4;16;22;25
9.6-10.1;9.91;14.9;16.8;20.9;25
10.1-10.8;10.3;14.6;16.6;21;25
10.8-11.3;11.1;15.8;17.7;23.1;25
11.3-11.7;11.5;15.3;18.3;21;25
11.7-12.2;11.9;15;18.3;22.3;25
12.2-12.7;12.5;16;20;22.8;25
12.7-13;12.9;17.9;19.5;25.7;25
13-13.5;13.2;16.9;19.3;25;25
13.5-13.9;13.7;17.3;20.6;25.2;25
13.9-14.5;14.2;17.8;19.6;23.8;25
14.5-15;14.8;16;19.8;23;25
15-15.4;15.2;17.6;20.7;25.6;25
15.4-16;15.7;18.2;20.1;30.1;25
16-16.6;16.3;17;20;25;25
16.6-17.1;16.9;18.1;20.8;25.3;25
17.1-17.6;17.3;16.7;20.3;28.6;25
17.6-18;17.9;18;21;24.2;25
;;;;;
reference values:;18.7;22.9;27.8;;
