Age-dependence of Ontogeny factor CYP1A1 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor CYP1A1;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.411;0.887;4.29;25
8.53-9.09;8.8;0.175;0.999;3.18;25
9.09-9.6;9.3;0.346;1.17;4.24;25
9.6-10.1;9.91;0.298;0.927;3.3;25
10.1-10.8;10.3;0.393;1.03;2.21;25
10.8-11.3;11.1;0.271;0.885;2.08;25
11.3-11.7;11.5;0.183;1.06;8.94;25
11.7-12.2;11.9;0.402;0.896;2.24;25
12.2-12.7;12.5;0.312;1.12;2.51;25
12.7-13;12.9;0.124;1.02;4.26;25
13-13.5;13.2;0.354;1.33;3.33;25
13.5-13.9;13.7;0.365;0.899;2.45;25
13.9-14.5;14.2;0.38;0.908;2.59;25
14.5-15;14.8;0.367;1.04;3.87;25
15-15.4;15.2;0.335;1.04;3.07;25
15.4-16;15.7;0.31;1.07;2.46;25
16-16.6;16.3;0.186;1.09;3.57;25
16.6-17.1;16.9;0.453;1.5;3.59;25
17.1-17.6;17.3;0.357;0.988;2.26;25
17.6-18;17.9;0.285;0.85;2.95;25
;;;;;
reference values:;0.298;1.18;3.33;;
