Age-dependence of Ontogeny factor GI CYP3A7 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI CYP3A7;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.0178;0.0243;0.0318;25
8.53-9.09;8.8;0.0148;0.0222;0.0381;25
9.09-9.6;9.3;0.0175;0.024;0.0511;25
9.6-10.1;9.91;0.0153;0.0272;0.0417;25
10.1-10.8;10.3;0.0167;0.0244;0.0346;25
10.8-11.3;11.1;0.0204;0.0271;0.0391;25
11.3-11.7;11.5;0.0139;0.0234;0.0371;25
11.7-12.2;11.9;0.018;0.0239;0.0326;25
12.2-12.7;12.5;0.0205;0.0262;0.0339;25
12.7-13;12.9;0.0188;0.024;0.0358;25
13-13.5;13.2;0.0152;0.0225;0.0414;25
13.5-13.9;13.7;0.0177;0.0235;0.0297;25
13.9-14.5;14.2;0.0167;0.0274;0.035;25
14.5-15;14.8;0.0175;0.0241;0.0394;25
15-15.4;15.2;0.0175;0.0261;0.0352;25
15.4-16;15.7;0.0185;0.0251;0.0377;25
16-16.6;16.3;0.0167;0.0248;0.0401;25
16.6-17.1;16.9;0.0183;0.0235;0.0346;25
17.1-17.6;17.3;0.0169;0.0252;0.0381;25
17.6-18;17.9;0.0157;0.0258;0.0375;25
;;;;;
reference values:;0.0173;0.0262;0.0409;;
