Age-dependence of Ontogeny factor GI CYP1A1 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI CYP1A1;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.172;1.44;9.68;25
8.53-9.09;8.8;0.152;0.582;4.01;25
9.09-9.6;9.3;0.139;1.24;4.41;25
9.6-10.1;9.91;0.0567;0.876;9.17;25
10.1-10.8;10.3;0.192;1.02;5.53;25
10.8-11.3;11.1;0.294;1.06;7.01;25
11.3-11.7;11.5;0.251;0.834;21;25
11.7-12.2;11.9;0.162;1.24;8.65;25
12.2-12.7;12.5;0.119;0.934;6.54;25
12.7-13;12.9;0.225;1;3.45;25
13-13.5;13.2;0.12;1.6;5.57;25
13.5-13.9;13.7;0.149;0.638;5.09;25
13.9-14.5;14.2;0.122;1;5.13;25
14.5-15;14.8;0.267;1.05;4.52;25
15-15.4;15.2;0.138;0.693;5.71;25
15.4-16;15.7;0.348;0.771;7.61;25
16-16.6;16.3;0.119;0.787;3.87;25
16.6-17.1;16.9;0.0973;1.22;4.91;25
17.1-17.6;17.3;0.256;1.09;2.7;25
17.6-18;17.9;0.257;1.36;3.91;25
;;;;;
reference values:;0.177;1.05;11.1;;
