Age-dependence of Ontogeny factor GI CYP3A4 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI CYP3A4;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.526;0.764;1.47;25
8.53-9.09;8.8;0.473;0.933;1.47;25
9.09-9.6;9.3;0.458;0.921;1.91;25
9.6-10.1;9.91;0.487;0.997;1.51;25
10.1-10.8;10.3;0.54;0.891;2.04;25
10.8-11.3;11.1;0.498;0.911;1.7;25
11.3-11.7;11.5;0.523;0.844;1.51;25
11.7-12.2;11.9;0.584;0.997;1.57;25
12.2-12.7;12.5;0.527;0.855;2.28;25
12.7-13;12.9;0.495;0.946;2.4;25
13-13.5;13.2;0.55;1.06;2.05;25
13.5-13.9;13.7;0.557;0.932;1.84;25
13.9-14.5;14.2;0.512;1.03;1.94;25
14.5-15;14.8;0.725;1;1.6;25
15-15.4;15.2;0.362;1.14;2.15;25
15.4-16;15.7;0.532;1.02;2.12;25
16-16.6;16.3;0.487;1.03;1.67;25
16.6-17.1;16.9;0.6;0.964;2.54;25
17.1-17.6;17.3;0.526;0.916;1.59;25
17.6-18;17.9;0.528;0.893;1.77;25
;;;;;
reference values:;0.525;0.95;1.84;;
