Age-dependence of Ontogeny factor CYP2C18 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor CYP2C18;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.398;1.05;2.51;25
8.53-9.09;8.8;0.459;1.04;2.85;25
9.09-9.6;9.3;0.481;0.923;2.15;25
9.6-10.1;9.91;0.551;0.938;3.66;25
10.1-10.8;10.3;0.298;0.886;2.2;25
10.8-11.3;11.1;0.475;0.934;3.76;25
11.3-11.7;11.5;0.324;0.791;4.3;25
11.7-12.2;11.9;0.253;1.11;2.52;25
12.2-12.7;12.5;0.291;1.25;2.84;25
12.7-13;12.9;0.387;0.916;2;25
13-13.5;13.2;0.532;1.15;2.26;25
13.5-13.9;13.7;0.25;0.805;2.08;25
13.9-14.5;14.2;0.375;1.11;2.61;25
14.5-15;14.8;0.387;0.812;2.92;25
15-15.4;15.2;0.377;0.999;2.23;25
15.4-16;15.7;0.456;0.958;2.31;25
16-16.6;16.3;0.54;1.01;2.83;25
16.6-17.1;16.9;0.288;1.27;2.05;25
17.1-17.6;17.3;0.408;0.882;3.02;25
17.6-18;17.9;0.455;0.942;1.89;25
;;;;;
reference values:;0.412;0.961;2.67;;
