Age-dependence of Ontogeny factor GI UGT1A6 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI UGT1A6;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.778;0.991;1.28;25
8.53-9.09;8.8;0.78;1.03;1.21;25
9.09-9.6;9.3;0.859;1.03;1.26;25
9.6-10.1;9.91;0.785;0.982;1.18;25
10.1-10.8;10.3;0.851;0.995;1.2;25
10.8-11.3;11.1;0.887;1.02;1.35;25
11.3-11.7;11.5;0.856;0.968;1.3;25
11.7-12.2;11.9;0.851;0.982;1.29;25
12.2-12.7;12.5;0.874;1.05;1.31;25
12.7-13;12.9;0.75;0.915;1.2;25
13-13.5;13.2;0.744;1.02;1.25;25
13.5-13.9;13.7;0.747;1.01;1.16;25
13.9-14.5;14.2;0.825;1;1.17;25
14.5-15;14.8;0.864;1.01;1.23;25
15-15.4;15.2;0.862;0.987;1.35;25
15.4-16;15.7;0.856;1.01;1.17;25
16-16.6;16.3;0.746;1;1.3;25
16.6-17.1;16.9;0.816;1.01;1.3;25
17.1-17.6;17.3;0.805;1.03;1.17;25
17.6-18;17.9;0.816;0.996;1.18;25
;;;;;
reference values:;0.82;1;1.2;;
