Age-dependence of Ontogeny factor GI UGT2B4 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI UGT2B4;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.61;1.05;1.43;25
8.53-9.09;8.8;0.69;1.06;1.52;25
9.09-9.6;9.3;0.73;0.965;1.46;25
9.6-10.1;9.91;0.664;1.09;1.9;25
10.1-10.8;10.3;0.6;0.97;1.36;25
10.8-11.3;11.1;0.702;1.04;1.61;25
11.3-11.7;11.5;0.502;0.96;1.53;25
11.7-12.2;11.9;0.661;0.945;1.54;25
12.2-12.7;12.5;0.572;0.797;1.52;25
12.7-13;12.9;0.654;0.946;1.52;25
13-13.5;13.2;0.662;0.951;1.55;25
13.5-13.9;13.7;0.536;0.985;1.62;25
13.9-14.5;14.2;0.681;1.05;1.67;25
14.5-15;14.8;0.621;1.09;1.73;25
15-15.4;15.2;0.675;1.01;1.46;25
15.4-16;15.7;0.648;1.06;1.5;25
16-16.6;16.3;0.652;0.978;1.57;25
16.6-17.1;16.9;0.577;1.02;1.55;25
17.1-17.6;17.3;0.766;1.04;1.54;25
17.6-18;17.9;0.569;0.946;1.51;25
;;;;;
reference values:;0.671;1.01;1.7;;
