Age-dependence of Ontogeny factor CYP1A2 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor CYP1A2;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.522;1.13;1.84;25
8.53-9.09;8.8;0.481;1.08;1.8;25
9.09-9.6;9.3;0.577;1.14;2.67;25
9.6-10.1;9.91;0.542;0.868;1.95;25
10.1-10.8;10.3;0.499;1.11;1.95;25
10.8-11.3;11.1;0.626;1.04;2.11;25
11.3-11.7;11.5;0.506;1.09;1.94;25
11.7-12.2;11.9;0.47;1.26;2.11;25
12.2-12.7;12.5;0.506;1.21;2.58;25
12.7-13;12.9;0.443;0.873;1.97;25
13-13.5;13.2;0.39;0.857;2.32;25
13.5-13.9;13.7;0.564;0.954;1.65;25
13.9-14.5;14.2;0.443;0.974;1.84;25
14.5-15;14.8;0.458;1.07;1.94;25
15-15.4;15.2;0.571;1.28;2.13;25
15.4-16;15.7;0.488;1.07;1.81;25
16-16.6;16.3;0.698;1.2;2.24;25
16.6-17.1;16.9;0.515;1.08;2.13;25
17.1-17.6;17.3;0.659;1.15;2.01;25
17.6-18;17.9;0.477;1.04;1.8;25
;;;;;
reference values:;0.569;1.01;2.1;;
