Age-dependence of Ontogeny factor GI UGT1A1 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI UGT1A1;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.776;0.941;1.21;25
8.53-9.09;8.8;0.823;0.998;1.19;25
9.09-9.6;9.3;0.876;0.96;1.26;25
9.6-10.1;9.91;0.845;1.06;1.23;25
10.1-10.8;10.3;0.802;0.981;1.21;25
10.8-11.3;11.1;0.891;1;1.13;25
11.3-11.7;11.5;0.826;1;1.21;25
11.7-12.2;11.9;0.843;1.04;1.26;25
12.2-12.7;12.5;0.763;1;1.22;25
12.7-13;12.9;0.787;0.966;1.17;25
13-13.5;13.2;0.781;0.961;1.23;25
13.5-13.9;13.7;0.806;0.96;1.17;25
13.9-14.5;14.2;0.842;1.01;1.29;25
14.5-15;14.8;0.806;0.986;1.29;25
15-15.4;15.2;0.744;1.01;1.14;25
15.4-16;15.7;0.864;0.998;1.18;25
16-16.6;16.3;0.833;1.01;1.21;25
16.6-17.1;16.9;0.804;0.986;1.26;25
17.1-17.6;17.3;0.859;0.954;1.24;25
17.6-18;17.9;0.754;1;1.3;25
;;;;;
reference values:;0.853;1.04;1.23;;
