Age-dependence of Ontogeny factor CYP3A5 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor CYP3A5;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.411;0.767;3.07;25
8.53-9.09;8.8;0.235;0.948;2.7;25
9.09-9.6;9.3;0.45;1.29;4.47;25
9.6-10.1;9.91;0.154;1.31;4.04;25
10.1-10.8;10.3;0.198;0.675;8.48;25
10.8-11.3;11.1;0.215;1.31;3.3;25
11.3-11.7;11.5;0.363;1.15;7.01;25
11.7-12.2;11.9;0.238;1.12;3.1;25
12.2-12.7;12.5;0.179;0.894;3.9;25
12.7-13;12.9;0.362;1.32;4.11;25
13-13.5;13.2;0.368;0.996;3.9;25
13.5-13.9;13.7;0.239;1.11;6.1;25
13.9-14.5;14.2;0.155;0.931;3.63;25
14.5-15;14.8;0.232;0.982;3.02;25
15-15.4;15.2;0.368;0.943;6.64;25
15.4-16;15.7;0.236;0.809;2.5;25
16-16.6;16.3;0.21;0.782;3.64;25
16.6-17.1;16.9;0.227;1.17;4.08;25
17.1-17.6;17.3;0.237;0.942;3.39;25
17.6-18;17.9;0.391;1.05;3.16;25
;;;;;
reference values:;0.273;1.02;4.41;;
