Age-dependence of Ontogeny factor GI CYP2D6 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI CYP2D6;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.293;1.16;6.38;25
8.53-9.09;8.8;0.196;0.761;6.02;25
9.09-9.6;9.3;0.307;1.07;2.43;25
9.6-10.1;9.91;0.329;0.733;3.48;25
10.1-10.8;10.3;0.304;0.951;7.2;25
10.8-11.3;11.1;0.324;0.911;4.34;25
11.3-11.7;11.5;0.184;0.966;4.23;25
11.7-12.2;11.9;0.236;0.849;3.94;25
12.2-12.7;12.5;0.399;0.921;2.34;25
12.7-13;12.9;0.244;0.861;4.75;25
13-13.5;13.2;0.238;1.15;4.15;25
13.5-13.9;13.7;0.262;1.06;3.82;25
13.9-14.5;14.2;0.197;0.679;4.93;25
14.5-15;14.8;0.187;0.954;4.53;25
15-15.4;15.2;0.249;1.02;5.77;25
15.4-16;15.7;0.251;1.17;4.89;25
16-16.6;16.3;0.359;0.88;3.73;25
16.6-17.1;16.9;0.235;0.958;6.49;25
17.1-17.6;17.3;0.523;1.49;5.62;25
17.6-18;17.9;0.259;0.898;5.53;25
;;;;;
reference values:;0.252;1.03;3.99;;
