age dependency of AUC_{inf} Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];AUC_{inf} [µg*h/l];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;4.87e+03;7.25e+03;1.05e+04;25
8.53-9.09;8.8;4.88e+03;7.1e+03;2.15e+04;25
9.09-9.6;9.3;4.27e+03;6.11e+03;1.12e+04;25
9.6-10.1;9.91;5.12e+03;6.6e+03;1.02e+04;25
10.1-10.8;10.3;4.64e+03;6.76e+03;1.04e+04;25
10.8-11.3;11.1;4.14e+03;6.4e+03;2.27e+04;25
11.3-11.7;11.5;3.75e+03;5.26e+03;9.1e+03;25
11.7-12.2;11.9;3.83e+03;5.07e+03;7.38e+03;25
12.2-12.7;12.5;3.74e+03;6.21e+03;8.95e+03;25
12.7-13;12.9;3.13e+03;4.58e+03;7.59e+03;25
13-13.5;13.2;3.4e+03;4.85e+03;7.48e+03;25
13.5-13.9;13.7;4.07e+03;5.04e+03;9.29e+03;25
13.9-14.5;14.2;3.75e+03;5.33e+03;6.95e+03;25
14.5-15;14.8;3.15e+03;4.47e+03;6.5e+03;25
15-15.4;15.2;2.96e+03;4.54e+03;6.28e+03;25
15.4-16;15.7;3.02e+03;4.41e+03;5.71e+03;25
16-16.6;16.3;3.14e+03;4.13e+03;7.36e+03;25
16.6-17.1;16.9;3.22e+03;4.64e+03;6.91e+03;25
17.1-17.6;17.3;2.81e+03;3.99e+03;7.44e+03;25
17.6-18;17.9;3.06e+03;4.46e+03;6.89e+03;25
;;;;;
reference values:;6.56e+03;1.01e+04;1.55e+04;;
