age dependency of C_{tEnd} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];C_{tEnd} [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;112;257;845;25
8.53-9.09;8.8;94.5;275;703;25
9.09-9.6;9.3;92.3;247;596;25
9.6-10.1;9.91;106;253;832;25
10.1-10.8;10.3;113;279;609;25
10.8-11.3;11.1;142;320;606;25
11.3-11.7;11.5;117;248;661;25
11.7-12.2;11.9;96;173;443;25
12.2-12.7;12.5;105;272;895;25
12.7-13;12.9;79.8;180;485;25
13-13.5;13.2;97.3;194;431;25
13.5-13.9;13.7;114;237;810;25
13.9-14.5;14.2;94.8;271;582;25
14.5-15;14.8;76.7;198;441;25
15-15.4;15.2;91.4;161;414;25
15.4-16;15.7;95.1;154;316;25
16-16.6;16.3;89.7;193;400;25
16.6-17.1;16.9;89.9;224;488;25
17.1-17.6;17.3;69.5;186;476;25
17.6-18;17.9;91.9;211;825;25
