age dependency of Vss Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];Vss [ml/kg];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;1.42e+03;2.31e+03;4e+03;25
8.53-9.09;8.8;1.38e+03;2.52e+03;9.37e+03;25
9.09-9.6;9.3;1.28e+03;2.31e+03;5.24e+03;25
9.6-10.1;9.91;1.27e+03;2.03e+03;3.5e+03;25
10.1-10.8;10.3;1.59e+03;2.13e+03;5.67e+03;25
10.8-11.3;11.1;1.37e+03;2.25e+03;7.75e+03;25
11.3-11.7;11.5;1.44e+03;2.43e+03;5.16e+03;25
11.7-12.2;11.9;1.33e+03;2.31e+03;3.23e+03;25
12.2-12.7;12.5;1.19e+03;1.91e+03;4.42e+03;25
12.7-13;12.9;1.48e+03;2.18e+03;3.47e+03;25
13-13.5;13.2;1.4e+03;2.12e+03;5.82e+03;25
13.5-13.9;13.7;1.17e+03;1.84e+03;3.6e+03;25
13.9-14.5;14.2;1.42e+03;1.76e+03;4.25e+03;25
14.5-15;14.8;1.35e+03;2.01e+03;5.01e+03;25
15-15.4;15.2;1.4e+03;1.83e+03;5.29e+03;25
15.4-16;15.7;1.13e+03;1.73e+03;3.64e+03;25
16-16.6;16.3;1.4e+03;1.94e+03;4.54e+03;25
16.6-17.1;16.9;1.47e+03;2.01e+03;3.44e+03;25
17.1-17.6;17.3;1.27e+03;2.01e+03;3.63e+03;25
17.6-18;17.9;1.28e+03;1.99e+03;3.45e+03;25
;;;;;
reference values:;1.99e+03;3.06e+03;5.58e+03;;
