age dependency of AUC_{inf} norm Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];AUC_{inf} norm [kg*h/l];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;1.18;2.02;3.16;25
8.53-9.09;8.8;1.27;2.08;6.3;25
9.09-9.6;9.3;1.23;1.82;3.53;25
9.6-10.1;9.91;1.63;2.33;3.3;25
10.1-10.8;10.3;1.54;2.1;3.76;25
10.8-11.3;11.1;1.38;2.54;9.68;25
11.3-11.7;11.5;1.32;2.14;3.76;25
11.7-12.2;11.9;1.49;2.13;3.16;25
12.2-12.7;12.5;1.46;2.78;4.3;25
12.7-13;12.9;1.49;2.2;3.89;25
13-13.5;13.2;1.42;2.26;3.67;25
13.5-13.9;13.7;1.83;2.72;4.68;25
13.9-14.5;14.2;1.57;2.91;3.86;25
14.5-15;14.8;1.69;2.24;3.78;25
15-15.4;15.2;1.67;2.4;3.36;25
15.4-16;15.7;1.86;2.44;3.56;25
16-16.6;16.3;1.57;2.42;3.55;25
16.6-17.1;16.9;1.62;2.49;3.97;25
17.1-17.6;17.3;1.31;2.4;3.89;25
17.6-18;17.9;1.7;2.63;4.2;25
;;;;;
reference values:;1.1;1.66;2.7;;
