body weight dependency of t_{max} Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];T_{max} [h];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;0.925;2.25;3.44;25
26.9-29.8;28.5;0.813;2;4.31;25
29.8-30.9;30.3;0.838;2.25;3.94;25
30.9-33.3;32.5;0.925;2.5;4.13;25
33.3-35.8;34.1;1.3;2.5;3.75;25
35.8-37.8;36.7;0.975;2.5;3.75;25
37.8-40.1;39.1;1.47;2.5;4.25;25
40.1-41.5;41;0.775;2.75;3.75;25
41.5-43.2;42.3;0.888;2.5;4.63;25
43.2-45.4;43.8;1.08;2.5;4.75;25
45.4-47.7;46.4;1.25;3.25;4.06;25
47.7-49.4;48.6;0.85;2.75;4.5;25
49.4-51;50.3;1.3;2.5;4.31;25
51-52.9;52.2;0.938;3;4.69;25
52.9-55.3;53.8;0.975;2;3.69;25
55.3-57.2;56.4;1.59;2.5;3.5;25
57.2-59.4;57.9;1.47;2.75;4;25
59.4-62.1;60.9;0.888;2.25;3.5;25
62.1-67.1;63.9;1.35;2.75;4.06;25
67.1-89;71.5;0.787;2.25;3.5;25
;;;;;
reference values:;0.5;0.7;1;;
