age dependency of AUC_{inf} norm Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];AUC_{inf} norm [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;71.3;122;191;25
8.53-9.09;8.8;76.8;126;380;25
9.09-9.6;9.3;74;110;213;25
9.6-10.1;9.91;98.3;140;199;25
10.1-10.8;10.3;92.6;126;226;25
10.8-11.3;11.1;83.4;153;583;25
11.3-11.7;11.5;79.3;129;227;25
11.7-12.2;11.9;89.9;128;190;25
12.2-12.7;12.5;88.1;167;259;25
12.7-13;12.9;90;133;234;25
13-13.5;13.2;85.8;136;221;25
13.5-13.9;13.7;111;164;282;25
13.9-14.5;14.2;94.3;176;232;25
14.5-15;14.8;102;135;228;25
15-15.4;15.2;100;144;203;25
15.4-16;15.7;112;147;215;25
16-16.6;16.3;94.6;146;214;25
16.6-17.1;16.9;97.6;150;239;25
17.1-17.6;17.3;78.8;145;234;25
17.6-18;17.9;103;158;253;25
