age dependency of Vss Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];Vss [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;46.5;75.3;130;25
8.53-9.09;8.8;45;82.3;306;25
9.09-9.6;9.3;41.7;75.4;171;25
9.6-10.1;9.91;41.3;66.3;114;25
10.1-10.8;10.3;52;69.6;185;25
10.8-11.3;11.1;44.8;73.6;253;25
11.3-11.7;11.5;47.1;79.2;168;25
11.7-12.2;11.9;43.3;75.4;106;25
12.2-12.7;12.5;38.8;62.3;144;25
12.7-13;12.9;48.3;71;113;25
13-13.5;13.2;45.5;69.1;190;25
13.5-13.9;13.7;38.3;59.9;118;25
13.9-14.5;14.2;46.3;57.4;139;25
14.5-15;14.8;44.1;65.6;163;25
15-15.4;15.2;45.8;59.6;173;25
15.4-16;15.7;36.8;56.3;119;25
16-16.6;16.3;45.7;63.2;148;25
16.6-17.1;16.9;48.1;65.6;112;25
17.1-17.6;17.3;41.3;65.4;119;25
17.6-18;17.9;41.6;65;113;25
