body weight dependency of AUC_{inf} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];AUC_{inf} [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;45.3;63.9;104;25
26.9-29.8;28.5;49.5;60.7;227;25
29.8-30.9;30.3;43.3;70.6;102;25
30.9-33.3;32.5;42;62.6;90;25
33.3-35.8;34.1;36.6;64.2;95.3;25
35.8-37.8;36.7;36.9;59;97.9;25
37.8-40.1;39.1;36;58.8;85.9;25
40.1-41.5;41;37.3;54.3;84.9;25
41.5-43.2;42.3;34.5;50.4;83.6;25
43.2-45.4;43.8;40.1;56.1;214;25
45.4-47.7;46.4;27.7;49.4;82.3;25
47.7-49.4;48.6;34.7;49.4;88.3;25
49.4-51;50.3;33.1;48.4;70.7;25
51-52.9;52.2;32.8;49;73.8;25
52.9-55.3;53.8;31.4;44.6;66.2;25
55.3-57.2;56.4;32.2;44.1;68.6;25
57.2-59.4;57.9;28.4;39.2;76.1;25
59.4-62.1;60.9;33.6;43.5;65.5;25
62.1-67.1;63.9;35.4;46.5;71.3;25
67.1-89;71.5;28.9;39.9;69.1;25
