body weight dependency of AUC_{inf} norm Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];AUC_{inf} norm [kg*h/l];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;1.13;1.63;2.37;25
26.9-29.8;28.5;1.37;1.73;6.6;25
29.8-30.9;30.3;1.34;2.17;3.13;25
30.9-33.3;32.5;1.36;2.08;2.99;25
33.3-35.8;34.1;1.25;2.28;3.34;25
35.8-37.8;36.7;1.37;2.16;3.71;25
37.8-40.1;39.1;1.44;2.31;3.44;25
40.1-41.5;41;1.56;2.24;3.53;25
41.5-43.2;42.3;1.48;2.14;3.57;25
43.2-45.4;43.8;1.78;2.53;9.55;25
45.4-47.7;46.4;1.31;2.33;3.82;25
47.7-49.4;48.6;1.72;2.44;4.3;25
49.4-51;50.3;1.69;2.47;3.59;25
51-52.9;52.2;1.74;2.61;3.84;25
52.9-55.3;53.8;1.7;2.42;3.68;25
55.3-57.2;56.4;1.84;2.52;3.95;25
57.2-59.4;57.9;1.66;2.34;4.53;25
59.4-62.1;60.9;2.08;2.63;4.01;25
62.1-67.1;63.9;2.28;3;4.62;25
67.1-89;71.5;2.03;2.91;4.88;25
;;;;;
reference values:;1.1;1.66;2.7;;
