body weight dependency of t_{max} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];T_{max} [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;132;321;491;25
26.9-29.8;28.5;116;286;616;25
29.8-30.9;30.3;120;321;563;25
30.9-33.3;32.5;132;357;589;25
33.3-35.8;34.1;186;357;536;25
35.8-37.8;36.7;139;357;536;25
37.8-40.1;39.1;211;357;607;25
40.1-41.5;41;111;393;536;25
41.5-43.2;42.3;127;357;661;25
43.2-45.4;43.8;154;357;679;25
45.4-47.7;46.4;179;464;580;25
47.7-49.4;48.6;121;393;643;25
49.4-51;50.3;186;357;616;25
51-52.9;52.2;134;429;670;25
52.9-55.3;53.8;139;286;527;25
55.3-57.2;56.4;227;357;500;25
57.2-59.4;57.9;211;393;571;25
59.4-62.1;60.9;127;321;500;25
62.1-67.1;63.9;193;393;580;25
67.1-89;71.5;113;321;500;25
