age dependency of AUC_{last} norm Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];AUC_{last} norm [kg*h/l];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;1.13;1.9;3.02;25
8.53-9.09;8.8;1.19;1.86;2.99;25
9.09-9.6;9.3;1.11;1.77;3.34;25
9.6-10.1;9.91;1.56;2.22;2.93;25
10.1-10.8;10.3;1.45;2.01;2.71;25
10.8-11.3;11.1;1.3;2.15;2.86;25
11.3-11.7;11.5;1.2;2.05;3.5;25
11.7-12.2;11.9;1.44;1.97;3;25
12.2-12.7;12.5;1.38;2.55;3.74;25
12.7-13;12.9;1.41;2.11;3.46;25
13-13.5;13.2;1.38;2.1;2.93;25
13.5-13.9;13.7;1.77;2.38;4.13;25
13.9-14.5;14.2;1.48;2.48;3.52;25
14.5-15;14.8;1.32;2.04;3.54;25
15-15.4;15.2;1.22;2.32;3.09;25
15.4-16;15.7;1.67;2.36;3.31;25
16-16.6;16.3;1.35;2.26;3.29;25
16.6-17.1;16.9;1.51;2.28;3.58;25
17.1-17.6;17.3;1.26;2.3;3.61;25
17.6-18;17.9;1.52;2.31;3.61;25
;;;;;
reference values:;1.03;1.56;2.59;;
