Percentile of Vd of Raltegravir.;;;;;;;;;
;;;;;;;;;
Vd [ml/kg];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);1699.35079818556;2575.4095152762;3191.69889762149;4096.16593333375;5644.82691169254;3455.13252340415;1377.14961476388;3223.97829160138;0.384363763056361
Raltegravir 25 mg  (lactose formulation);1695.66886001908;2572.99925312863;3184.25493195394;4084.14453420709;5611.9409309649;3441.96626291267;1369.44146123531;3212.63088141327;0.383474808795323
Raltegravir 50 mg  (lactose formulation);3670.38110794345;5628.52069247236;6809.23567842132;8952.73163245037;14519.9294350917;7766.95115382013;3478.08613266063;7163.26349519448;0.408469041091431
Raltegravir 100 mg  (lactose formulation);3706.70763019734;5647.20250944473;6839.5622450373;8877.31507068881;14270.4664453872;7705.38081982855;3336.49165860288;7136.79440451811;0.397519859773035
Raltegravir 200 mg   (lactose formulation);4156.73183532449;5898.65632939245;7082.07281812556;8619.15388233084;12121.7359822295;7443.33066941693;2344.58113944833;7102.15583478713;0.314945166937693
Raltegravir 400mg (lactose formulation);4071.85505704934;5763.51102380028;6761.93343081826;8356.17534088345;11646.8200250978;7217.71598142934;2280.0580079973;6886.28812896088;0.31466351617051
Raltegravir 800 mg  (lactose formulation);3784.08974181096;5359.90835154261;6547.35568972744;8095.67774387133;10791.0217443008;6849.54794466895;2206.19279826541;6515.86717265576;0.326313064799509
Raltegravir 1200 mg   (lactose formulation);3988.04969688866;5457.94169208289;6473.89066849908;7749.02837386797;10198.3853469515;6687.26893128707;1826.11365232669;6441.59111654293;0.283755689190163
Raltegravir 1600 mg  (lactose formulation);3941.29958744239;5382.23212180321;6280.72482344136;7674.00763997457;10094.0059797406;6568.27205516182;1806.93304282333;6324.7261669455;0.284643656336043
Raltegravir 100 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 200 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Filmcoated_tablet_400mg_sd;3976.69100479835;5967.96549767545;7799.04932460324;11034.1803890867;19279.7439242914;9049.15018673163;4704.92435678279;8095.65769628424;0.490047538107531
Raltegravir 400 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 400mg chewable fasted;2049.40631439879;3321.83035848825;4204.49077857919;6215.45396812287;10217.3435159161;5168.70950526239;4016.85677737652;4448.40204477099;0.547617329216495
Raltegravir 400mg chewable fed;1935.22057569442;2883.34475179153;3888.28740042082;5908.24422304624;8995.11245240053;4961.57636718727;4914.84379566616;4119.14396075839;0.593105023087612
Raltegravir 400mg (granules in suspension);1462.00763064515;2522.42626169427;3142.89695405659;4915.89145873036;7681.74589578277;4051.76875589215;3926.75493674181;3401.27320837459;0.57211682540345
