Percentile of AUC_{last} (first dosing interval) of Raltegravir.;;;;;;;;;
;;;;;;;;;
AUC_{last} (first dosing interval) [µg*h/l];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 25 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 50 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 100 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 200 mg   (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 400mg (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 800 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 1200 mg   (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 1600 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 100 mg filmcoated tablet md;1408.06183940026;1852.8679871658;2185.1862650753;2612.67693300983;3391.39009809388;2288.8219002604;605.85895370629;2210.1633509745;0.272859714205408
Raltegravir 200 mg filmcoated tablet md;2857.83535692049;3774.69140252508;4403.20984948027;5304.67596674108;6832.6817242564;4626.05760224108;1220.88270218661;4467.93204236507;0.272043313887611
Filmcoated_tablet_400mg_sd;0;0;0;0;0;0;0;0;NaN
Raltegravir 400 mg filmcoated tablet md;5829.40211410602;7581.71702080758;8983.45909583481;10901.8066279561;13829.1542971369;9383.09835567655;2479.0935672544;9061.96984667494;0.272030236595419
Raltegravir 400mg chewable fasted;0;0;0;0;0;0;0;0;NaN
Raltegravir 400mg chewable fed;0;0;0;0;0;0;0;0;NaN
Raltegravir 400mg (granules in suspension);0;0;0;0;0;0;0;0;NaN
