Percentile of C_{max} norm (last dosing interval of Raltegravir.;;;;;;;;;
;;;;;;;;;
C_{max} norm (last dosing interval [kg/l];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 25 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 50 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 100 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 200 mg   (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 400mg (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 800 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 1200 mg   (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 1600 mg  (lactose formulation);0;0;0;0;0;0;0;0;NaN
Raltegravir 100 mg filmcoated tablet md;0.419872763587977;0.54327635965153;0.624813133114293;0.733870999451278;0.891860227410005;0.638625765056631;0.139360803103967;0.622934893476755;0.231801230853029
Raltegravir 200 mg filmcoated tablet md;0.432480615738279;0.556126574192819;0.63632727788749;0.743193927768116;0.90308410901464;0.649185174276376;0.139517859967745;0.633768095092601;0.227473107849937
Filmcoated_tablet_400mg_sd;0;0;0;0;0;0;0;0;NaN
Raltegravir 400 mg filmcoated tablet md;0.445950681214065;0.579190262605739;0.651479126040154;0.757946562127465;0.914843608404345;0.66517641171408;0.139642802339993;0.650128894588238;0.221649426450781
Raltegravir 400mg chewable fasted;0;0;0;0;0;0;0;0;NaN
Raltegravir 400mg chewable fed;0;0;0;0;0;0;0;0;NaN
Raltegravir 400mg (granules in suspension);0;0;0;0;0;0;0;0;NaN
