Time profiles of Raltegravir for Raltegravir 100 mg filmcoated tablet md for first application range.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;0.69;3.15;11.8
0.1;10.3;32.5;110
0.15;34.4;96.2;290
0.2;72.8;190;516
0.25;123;295;749
0.3;184;400;940
0.35;246;520;1.09e+03
0.4;307;630;1.19e+03
0.45;362;728;1.26e+03
0.5;411;780;1.29e+03
0.55;455;828;1.3e+03
0.6;492;863;1.27e+03
0.65;525;902;1.27e+03
0.7;551;910;1.26e+03
0.75;569;921;1.23e+03
0.8;579;910;1.19e+03
0.85;582;895;1.16e+03
0.9;578;869;1.16e+03
0.95;559;850;1.13e+03
1;555;822;1.1e+03
1.05;542;800;1.06e+03
1.1;527;770;1.03e+03
1.15;510;744;1.01e+03
1.2;493;721;988
1.25;474;697;969
1.3;459;675;949
1.35;442;653;929
1.4;426;635;911
1.45;411;612;893
1.5;397;589;872
1.55;383;567;849
1.6;370;548;827
1.65;357;529;805
1.7;345;512;784
1.75;332;496;763
1.8;319;480;743
1.85;305;465;723
1.9;294;451;704
1.95;284;438;686
2;274;426;668
2.25;232;369;594
2.5;198;318;528
2.75;168;274;470
3;144;240;417
3.25;124;212;380
3.5;108;190;346
3.75;95.1;172;320
4;84.1;155;297
4.25;74.9;140;275
4.5;67.1;126;252
4.75;60.4;114;232
5;54.7;106;213
5.25;49.8;97.7;197
5.5;45.5;89.9;182
5.75;41.8;83;169
6;38.7;76.8;157
6.25;36;71;147
6.5;33.7;66.4;137
6.75;31.6;62;129
7;29.8;58;121
7.25;28.1;54.7;114
7.5;26.6;51.2;107
7.75;25.3;48.9;101
8;24;46.9;95.4
8.25;22.9;44.9;90.3
8.5;21.9;42.7;85.6
8.75;20.9;40.6;81.3
9;19.8;38.6;77.4
9.25;18.9;36.7;73.7
9.5;18;35;70.4
9.75;17.1;33.6;67.2
10;16.3;32.3;64.3
10.3;15.6;31.1;61.6
10.5;15;29.8;59.1
10.8;14.3;28.7;56.8
11;13.8;27.6;54.6
11.3;13.2;26.5;52.5
11.5;12.7;25.6;50.6
11.8;12.3;24.7;48.8
12;11.8;23.9;47.1
