Time profiles of Raltegravir for Raltegravir 10 mg   (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;0.0966;0.441;1.64
0.1;1.41;4.45;15.1
0.15;4.67;13;39.2
0.2;9.68;25.3;68.6
0.25;16.2;39.2;98.8
0.3;23.9;53;124
0.35;32;67.8;142
0.4;39.7;81.8;155
0.45;47;94;162
0.5;53.4;101;167
0.55;58.9;106;167
0.6;63.5;110;164
0.65;67.8;114;163
0.7;70.5;116;160
0.75;72.9;117;155
0.8;73.9;114;151
0.85;74.2;113;149
0.9;72.9;110;147
0.95;70.3;107;142
1;69.4;103;138
1.05;67.9;101;134
1.1;66.9;96.8;130
1.15;64.4;94.2;127
1.2;61.6;90.1;125
1.25;59.8;87.1;122
1.3;58.1;84.6;120
1.35;56;81.7;117
1.4;54;79;114
1.45;52;76;112
1.5;49.9;73.6;109
1.55;47.9;70.7;106
1.6;45.9;68.4;103
1.65;44.1;66.1;100
1.7;42.2;63.9;97.4
1.75;40.5;61.8;94.7
1.8;38.9;59.8;92.1
1.85;37.5;57.9;89.5
1.9;36.1;56.1;87
1.95;34.8;54.2;84.7
2;33.5;52.4;82.4
2.25;28.1;45;72.9
2.5;23.3;38.3;64.6
2.75;19.6;33.2;57
3;16.6;29;50.7
3.25;14.2;25.4;46.3
3.5;12.3;22.4;42.2
3.75;10.7;20.1;38.5
4;9.4;18.1;35.4
4.25;8.31;16.3;32.7
4.5;7.39;14.7;29.9
4.75;6.61;13.4;27.3
5;5.94;12.2;25
5.25;5.38;11.1;23
5.5;4.92;10.2;21.3
5.75;4.52;9.32;19.8
6;4.17;8.59;18.4
6.25;3.87;7.95;17.1
6.5;3.6;7.32;15.9
6.75;3.36;6.79;14.9
7;3.14;6.39;13.9
7.25;2.95;6.07;13.1
7.5;2.78;5.7;12.2
7.75;2.63;5.38;11.5
8;2.48;5.08;10.8
8.25;2.36;4.77;10.2
8.5;2.22;4.5;9.64
8.75;2.09;4.26;9.12
9;1.97;4.06;8.63
9.25;1.87;3.87;8.19
9.5;1.77;3.69;7.77
9.75;1.68;3.53;7.39
10;1.59;3.38;7.03
10.3;1.51;3.23;6.7
10.5;1.44;3.1;6.4
10.8;1.37;2.96;6.11
11;1.31;2.84;5.84
11.3;1.25;2.74;5.59
11.5;1.2;2.63;5.36
11.8;1.15;2.53;5.14
12;1.1;2.43;4.93
